 ID      RAJ2000   DEJ2000     U      SU    B      SB     V      SV     R     SR      I   SI     id     raj2000G     dej2000G     Gmag     e_Gmag     BPmag     e_BPmag     RPmag     e_RPmag     pmRA     e_pmRA     pmDE     e_pmDE     Plx     e_Plx     Rv     e_Rv     P
  48    129.6208 -34.7725   14.772  0.004 14.535  0.003 14.209  0.002 14.011  0.004 13.770  0.001    5638573975480724480 129.620870 -34.770101 18.1560 0.0019 18.3983 0.0390 17.5334 0.0151 -2.1330 0.2130 2.9320 0.2950 0.1137 0.1626 nan nan 0.5717
2984    129.6196 -34.7404      NaN    NaN    NaN    NaN 21.424  0.052 20.697  0.038 19.935  0.001    5638574632617699328 129.622376 -34.737143 16.7856 0.0007 17.4066 0.0077 16.0224 0.0046 -4.5070 0.0890 5.2810 0.1130 0.1956 0.0674 nan nan 0.0000
1085    129.6525 -34.7213   19.645  0.014 19.508  0.007 18.658  0.001 18.122  0.012 17.586  0.001    5638574559596516352 129.652673 -34.721276 18.3648 0.0017 18.8640 0.0283 17.6868 0.0159 -5.0720 0.2240 4.8700 0.3160 0.2901 0.1685 nan nan 0.0000
  51    129.5842 -34.7909   15.051  0.004 14.728  0.003 14.309  0.003 14.035  0.003 13.726  0.001    5638573876703499264 129.584057 -34.790872 14.1780 0.0003 14.4241 0.0028 13.7623 0.0015 -2.4890 0.0290 2.2970 0.0380 0.1466 0.0218 nan nan 0.9978
  25    129.5879 -34.7202   15.665  0.004 14.855  0.007 13.602  0.002 12.880  0.005 12.190  0.001    5638621254480958464 129.588110 -34.720193 13.1198 0.0002 13.8481 0.0016 12.2892 0.0012 -2.6020 0.0240 1.3900 0.0320 0.3360 0.0190 57.1100 1.0400 0.0000
 786    129.6108 -34.7433   19.140  0.008 18.919  0.009 18.071  0.007 17.542  0.008 17.039  0.001    5638574632617705472 129.610921 -34.743334 17.7707 0.0012 18.2399 0.0207 17.0804 0.0097 -2.4890 0.1590 4.4630 0.1830 0.1035 0.1177 nan nan 0.0000
1083    129.6550 -34.7597   20.393  0.056 19.752  0.009 18.657  0.007 17.999  0.009 17.386  0.001    5638573636185280512 129.655087 -34.759652 18.2737 0.0019 18.8793 0.0211 17.4493 0.0142 -2.5950 0.2440 2.7580 0.3240 0.2251 0.1746 nan nan 0.7488
 715    129.6721 -34.7805   18.830  0.009 18.614  0.011 17.905  0.005 17.458  0.002 16.999  0.001    5638573528804037632 129.668301 -34.781366 18.7225 0.0021 19.3052 0.0303 17.9558 0.0176 -4.2210 0.2780 3.2830 0.4300 0.1196 0.2174 nan nan 0.0000
 586    129.6829 -34.7947   18.438  0.008 18.189  0.015 17.552  0.005 17.164  0.011 16.733  0.001    5638573292587897856 129.682811 -34.794670 17.3681 0.0010 17.7133 0.0095 16.8026 0.0068 -3.0490 0.1230 2.9430 0.1590 0.2189 0.0895 nan nan 0.0000
 798    129.6437 -34.7257   19.167  0.030 18.937  0.022 18.086  0.006 17.575  0.007 17.063  0.001    5638574563898207232 129.643740 -34.725727 17.8049 0.0014 18.2930 0.0167 17.1259 0.0080 -4.4480 0.1620 4.9310 0.1960 0.2675 0.1248 nan nan 0.0000
1078    129.6121 -34.7388   19.590  0.033 19.425  0.005 18.652  0.008 18.169  0.010 17.660  0.001    5638574628315895808 129.612307 -34.738836 18.3843 0.0021 18.8484 0.0216 17.7213 0.0104 -3.0380 0.2430 1.4730 0.3550 0.1834 0.1822 nan nan 0.5551
1071    129.7337 -34.7872      NaN    NaN    NaN    NaN 18.643  0.018 17.730  0.006 16.876  0.001    5638570475089325056 129.727468 -34.783321 17.2423 0.0009 17.6184 0.0082 16.6859 0.0057 -2.4120 0.1240 2.2230 0.1400 0.1668 0.0861 nan nan 0.9936
 557    129.6079 -34.7834   18.767  0.016 18.414  0.005 17.452  0.012 16.894  0.005 16.353  0.001    5638573945414187008 129.607922 -34.783366 17.1328 0.0009 17.5518 0.0191 16.3845 0.0098 -4.6930 0.1080 2.8890 0.1300 0.5814 0.0784 nan nan 0.0000
  61    129.6537 -34.7650   15.087  0.004 14.872  0.002 14.533  0.005 14.319  0.002 14.060  0.001    5638573601825545216 129.653606 -34.765031 14.4398 0.0003 14.6340 0.0018 14.0901 0.0013 -2.4840 0.0310 2.2350 0.0380 0.1525 0.0220 nan nan 0.9987
 588    129.6587 -34.7201   18.460  0.015 18.299  0.006 17.568  0.001 17.083  0.005 16.576  0.001    5638574598249075712 129.658551 -34.720104 17.3071 0.0009 17.6875 0.0194 16.6771 0.0148 -2.1280 0.1200 2.1620 0.1330 0.1759 0.0874 nan nan 0.8547
  21    129.6708 -34.8591   15.407  0.006 14.563  0.005 13.258  0.001 12.544  0.001 11.854  0.001    5638569714872645632 129.670175 -34.853855 19.2754 0.0031 19.7294 0.0464 18.5160 0.0291 -2.9470 0.4250 2.3710 0.5250 -0.4537 0.3087 nan nan 0.7313
 277    129.6212 -34.7584   17.228  0.009 16.881  0.003 16.348  0.003 16.025  0.003 15.672  0.001    5638574044201676800 129.621328 -34.758374 16.1874 0.0005 16.4855 0.0047 15.7083 0.0024 -3.8700 0.0680 4.0860 0.0770 0.0668 0.0498 nan nan 0.0000
 224    129.5967 -34.7340   17.953  0.008 17.227  0.012 16.034  0.007 15.347  0.003 14.667  0.001    5638574319078275072 129.596488 -34.734050 15.6123 0.0013 16.2846 0.0037 14.7676 0.0012 -1.4970 0.2300 2.7290 0.2590 1.1290 0.1574 nan nan 0.0000
 589    129.6867 -34.7396   18.435  0.019 18.309  0.006 17.581  0.015 17.117  0.005 16.588  0.001    5638573773624209408 129.686549 -34.739575 17.3323 0.0009 17.7974 0.0104 16.7077 0.0059 -3.8830 0.1180 6.7730 0.1410 0.5288 0.0871 nan nan 0.0000
1037    129.6179 -34.7206   20.050  0.018 19.596  0.018 18.591  0.007 17.997  0.005 17.399  0.001    5638574735688080384 129.617890 -34.720640 18.2456 0.0020 18.7556 0.0508 17.4808 0.0166 -3.3800 0.2230 -1.5390 0.3490 0.3938 0.1707 nan nan 0.0000
2396    129.6725 -34.8169      NaN    NaN    NaN    NaN 20.636  0.069 19.617  0.017 18.485  0.001    5638572880271049728 129.672150 -34.816859 16.0841 0.0006 16.6662 0.0042 15.3416 0.0033 -4.4630 0.0610 9.8740 0.0720 1.2085 0.0435 nan nan 0.0000
 495    129.7304 -34.7010   19.326  0.083 18.449  0.046 17.287  0.020 16.692  0.011 16.081  0.001    5638575281151040512 129.702317 -34.719813 17.3860 0.0009 17.8903 0.0080 16.7171 0.0068 -4.7550 0.1240 3.8370 0.1550 0.1695 0.0924 nan nan 0.0000
 163    129.5879 -34.8318   16.326  0.003 16.039  0.002 15.608  0.002 15.341  0.004 15.045  0.001    5638567176554530816 129.587997 -34.831790 15.5054 0.0004 15.7471 0.0039 15.0971 0.0030 -2.4530 0.0500 2.2740 0.0580 0.1470 0.0361 nan nan 0.9978
 686    129.6112 -34.7152   18.832  0.020 18.634  0.008 17.823  0.008 17.318  0.007 16.780  0.001    5638574731395232768 129.611216 -34.715222 17.5477 0.0012 18.0216 0.0162 16.8764 0.0063 -2.0420 0.1310 2.5880 0.1600 -0.0110 0.1001 nan nan 0.1336
 804    129.6125 -34.8051   19.323  0.011 19.019  0.009 18.102  0.002 17.566  0.015 17.043  0.001    5638573086429507584 129.612743 -34.805061 17.8105 0.0014 18.3079 0.0183 17.1214 0.0150 -2.2930 0.1870 2.0690 0.1940 0.2377 0.1239 nan nan 0.9733
 454    129.6442 -34.7366   18.774  0.013 18.159  0.012 17.157  0.001 16.573  0.007 16.042  0.001    5638574460818997248 129.644256 -34.736607 16.8258 0.0007 17.3746 0.0070 16.1176 0.0040 -6.6210 0.0960 3.0050 0.1250 0.7859 0.0742 nan nan 0.0000
 159    129.5954 -34.8048   16.343  0.006 16.219  0.003 15.577  0.001 15.162  0.004 14.727  0.001    5638573803681802240 129.595232 -34.804816 15.3656 0.0004 15.7475 0.0023 14.8023 0.0024 -3.1200 0.0460 4.2680 0.0630 0.3362 0.0346 nan nan 0.0000
 158    129.7363 -34.7891   18.296  0.031 17.040  0.017 15.573  0.007 14.767  0.001 14.068  0.001    5638570475089328128 129.726728 -34.790694 16.5642 0.0007 17.0769 0.0049 15.8882 0.0033 -3.4070 0.0810 6.2330 0.0880 0.3079 0.0578 nan nan 0.0000
2930    129.5658 -34.7982      NaN    NaN    NaN    NaN 21.339  0.065 20.394  0.029 19.710  0.001    5638568203044490240 129.564942 -34.797233 18.4131 0.0019 18.8200 0.0276 17.7728 0.0136 -3.4650 0.2580 2.7290 0.4560 -0.0778 0.1938 nan nan 0.0001
1019    129.6879 -34.8175   19.840  0.021 19.541  0.020 18.558  0.003 17.973  0.005 17.374  0.001    5638570298985227264 129.688081 -34.817458 18.2401 0.0014 18.7665 0.0184 17.4720 0.0167 -2.4820 0.2120 3.2920 0.3120 0.3838 0.1582 nan nan 0.0023
2346    129.6262 -34.8359      NaN    NaN 21.809  0.072 20.565  0.026 19.917  0.021 19.275  0.001    5638572772896007168 129.626776 -34.837279 18.5551 0.0022 18.8967 0.0299 17.9072 0.0185 -3.4230 0.2830 3.6840 0.4010 0.0360 0.2074 nan nan 0.0000
  15    129.6071 -34.7760   15.168  0.004 14.316  0.003 13.061  0.001 12.370  0.001 11.695  0.001    5638574014142432256 129.607227 -34.775990 12.6124 0.0002 13.3273 0.0011 11.8045 0.0012 0.5340 0.0390 -3.7730 0.0480 0.4795 0.0283 33.4300 0.9500 0.0000
 600    129.6367 -34.7300   18.455  0.012 18.353  0.010 17.623  0.004 17.152  0.006 16.639  0.001    5638574456517253120 129.636826 -34.729963 17.3564 0.0010 17.8157 0.0120 16.7246 0.0057 -4.1240 0.1210 2.7370 0.1420 0.3909 0.0871 nan nan 0.0000
 527    129.6129 -34.7469   18.534  0.002 18.286  0.007 17.367  0.003 16.780  0.011 16.213  0.001    5638574250358730752 129.613005 -34.746847 17.0279 0.0012 17.5686 0.0078 16.3104 0.0038 -3.0980 0.1450 3.8200 0.1770 0.0113 0.1054 nan nan 0.0000
 343    129.6433 -34.8083   17.901  0.009 17.544  0.006 16.623  0.004 16.083  0.002 15.546  0.001    5638573120789229568 129.643476 -34.808324 16.3298 0.0006 16.8575 0.0065 15.6415 0.0030 -1.0760 0.0670 2.1360 0.0840 0.2881 0.0480 nan nan 0.0000
 813    129.6808 -34.7523   19.927  0.032 19.310  0.009 18.126  0.008 17.402  0.006 16.717  0.001    5638573666243155968 129.680759 -34.752322 17.6737 0.0012 18.3739 0.0199 16.8414 0.0060 -5.5740 0.1480 4.4090 0.1650 0.5043 0.1026 nan nan 0.0000
3068    129.5800 -34.7463      NaN    NaN    NaN    NaN 21.557  0.067 20.410  0.018 19.387  0.001    5638574284718456832 129.579250 -34.747992 18.3788 0.0019 18.8268 0.0365 17.6691 0.0136 -2.1360 0.2340 2.4640 0.3350 0.1138 0.1768 nan nan 0.9160
2624    129.6296 -34.6868      NaN    NaN 22.208  0.102 20.928  0.045 20.138  0.033 19.477  0.001    5638621804236920832 129.628575 -34.690444 16.3700 0.0007 16.8178 0.0038 15.7470 0.0030 -5.1390 0.0730 4.1770 0.0840 0.1584 0.0529 nan nan 0.0000
